Run,age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,population,ReleaseDate,Sample Name,SRA Study,Tissue
SRR8241462,not applicable,WGS,250,2402261500,PRJNA506705,SAMN10471616,Plant,1097284569,ETHZ,public,not applicable,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",not applicable,not applicable,SRX5059674,Poland,Europe,Poland: Zakopane,Illumina HiSeq 2500,not applicable,49.278343 N 19.96706 E,Zako_002_h04,PAIRED,RANDOM,GENOMIC,Arabidopsis halleri,ILLUMINA,Zapa,2019-06-03T00:00:00Z,Zako_halleri_HM,SRP170654,leaf
SRR8241463,not applicable,WGS,250,2235519750,PRJNA506705,SAMN10471616,Plant,1022836138,ETHZ,public,not applicable,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",not applicable,not applicable,SRX5059673,Poland,Europe,Poland: Zakopane,Illumina HiSeq 2500,not applicable,49.278343 N 19.96706 E,Zako_002_h05,PAIRED,RANDOM,GENOMIC,Arabidopsis halleri,ILLUMINA,Zapa,2019-06-03T00:00:00Z,Zako_halleri_HM,SRP170654,leaf
SRR8241464,not applicable,WGS,250,2311648000,PRJNA506705,SAMN10471613,Plant,1057296266,ETHZ,public,not applicable,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,SRX5059672,Poland,Europe,Poland: Kletno,Illumina HiSeq 2500,not applicable,50.2440833 N 16.848417 E,Klet_007_h31,PAIRED,RANDOM,GENOMIC,Arabidopsis halleri,ILLUMINA,Klet,2019-06-03T00:00:00Z,Klet_halleri_HM,SRP170654,leaf
SRR8241465,not applicable,WGS,250,5936400250,PRJNA506705,SAMN10471614,Plant,2902590751,ETHZ,public,not applicable,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",not applicable,not applicable,SRX5059671,Poland,Europe,Poland: Kowary,Illumina HiSeq 2500,not applicable,50.763153 N 15.8439 E,Kowa_002_h13,PAIRED,RANDOM,GENOMIC,Arabidopsis halleri,ILLUMINA,Kowa,2019-06-03T00:00:00Z,Kowa_halleri_HM,SRP170654,leaf
SRR8241466,not applicable,WGS,250,2828836000,PRJNA506705,SAMN10471614,Plant,1267509591,ETHZ,public,not applicable,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",not applicable,not applicable,SRX5059670,Poland,Europe,Poland: Kowary,Illumina HiSeq 2500,not applicable,50.763153 N 15.8439 E,Kowa_002_h14,PAIRED,RANDOM,GENOMIC,Arabidopsis halleri,ILLUMINA,Kowa,2019-06-03T00:00:00Z,Kowa_halleri_HM,SRP170654,leaf
SRR8241467,not applicable,WGS,250,3997847500,PRJNA506705,SAMN10471614,Plant,1832136354,ETHZ,public,not applicable,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",not applicable,not applicable,SRX5059669,Poland,Europe,Poland: Kowary,Illumina HiSeq 2500,not applicable,50.763153 N 15.8439 E,Kowa_002_h17,PAIRED,RANDOM,GENOMIC,Arabidopsis halleri,ILLUMINA,Kowa,2019-06-03T00:00:00Z,Kowa_halleri_HM,SRP170654,leaf
SRR8241468,not applicable,WGS,250,2377664000,PRJNA506705,SAMN10471613,Plant,1089849063,ETHZ,public,not applicable,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",not applicable,not applicable,SRX5059668,Poland,Europe,Poland: Kletno,Illumina HiSeq 2500,not applicable,50.2440833 N 16.848417 E,Klet_006_h30,PAIRED,RANDOM,GENOMIC,Arabidopsis halleri,ILLUMINA,Klet,2019-06-03T00:00:00Z,Klet_halleri_HM,SRP170654,leaf
SRR8241469,not applicable,WGS,250,4326471250,PRJNA506705,SAMN10471614,Plant,1922636043,ETHZ,public,not applicable,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",not applicable,not applicable,SRX5059667,Poland,Europe,Poland: Kowary,Illumina HiSeq 2500,not applicable,50.763153 N 15.8439 E,Kowa_002_h21,PAIRED,RANDOM,GENOMIC,Arabidopsis halleri,ILLUMINA,Kowa,2019-06-03T00:00:00Z,Kowa_halleri_HM,SRP170654,leaf
SRR8241470,not applicable,WGS,250,3740296000,PRJNA506705,SAMN10471614,Plant,1635325263,ETHZ,public,not applicable,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",not applicable,not applicable,SRX5059666,Poland,Europe,Poland: Kowary,Illumina HiSeq 2500,not applicable,50.763153 N 15.8439 E,Kowa_003_h02,PAIRED,RANDOM,GENOMIC,Arabidopsis halleri,ILLUMINA,Kowa,2019-06-03T00:00:00Z,Kowa_halleri_HM,SRP170654,leaf
SRR8241471,not applicable,WGS,250,3321054750,PRJNA506705,SAMN10471614,Plant,1487738929,ETHZ,public,not applicable,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",not applicable,not applicable,SRX5059665,Poland,Europe,Poland: Kowary,Illumina HiSeq 2500,not applicable,50.763153 N 15.8439 E,Kowa_003_h04,PAIRED,RANDOM,GENOMIC,Arabidopsis halleri,ILLUMINA,Kowa,2019-06-03T00:00:00Z,Kowa_halleri_HM,SRP170654,leaf
SRR8241472,not applicable,WGS,250,4248370250,PRJNA506705,SAMN10471615,Plant,1924139548,ETHZ,public,not applicable,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,not applicable,SRX5059664,Poland,Europe,Poland: Miasteczko _l_skie,Illumina HiSeq 2500,not applicable,50.5030833 N 18.93817 E,Mias_002_h19,PAIRED,RANDOM,GENOMIC,Arabidopsis halleri,ILLUMINA,Mias,2019-06-03T00:00:00Z,Mias_halleri_HM,SRP170654,leaf
SRR8241473,not applicable,WGS,250,5120222750,PRJNA506705,SAMN10471615,Plant,2295098560,ETHZ,public,not applicable,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",not applicable,not applicable,SRX5059663,Poland,Europe,Poland: Miasteczko _l_skie,Illumina HiSeq 2500,not applicable,50.5030833 N 18.93817 E,Mias_002_h20,PAIRED,RANDOM,GENOMIC,Arabidopsis halleri,ILLUMINA,Mias,2019-06-03T00:00:00Z,Mias_halleri_HM,SRP170654,leaf
SRR8241474,not applicable,WGS,250,2950931500,PRJNA506705,SAMN10471613,Plant,1337899910,ETHZ,public,not applicable,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",not applicable,not applicable,SRX5059662,Poland,Europe,Poland: Kletno,Illumina HiSeq 2500,not applicable,50.2440833 N 16.848417 E,Klet_006_h29,PAIRED,RANDOM,GENOMIC,Arabidopsis halleri,ILLUMINA,Klet,2019-06-03T00:00:00Z,Klet_halleri_HM,SRP170654,leaf
