study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	library_layout	library_source	experiment_title	study_alias	run_alias	fastq_ftp	submitted_ftp	sample_alias	sample_title
PRJNA484107	SAMN09759729	SRS3621852	SRX4501065	SRR7637315	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	CHO_001_c	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; CHO_001_c	PRJNA484107	CHO_001_c_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637315/SRR7637315.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637315/SRR7637315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637315/SRR7637315_2.fastq.gz		CHO_001_c	CHO_001_c
PRJNA484107	SAMN09759728	SRS3621851	SRX4501064	SRR7637316	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	CHO_001_b	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; CHO_001_b	PRJNA484107	CHO_001_b_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7637316/SRR7637316.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7637316/SRR7637316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7637316/SRR7637316_2.fastq.gz		CHO_001_b	CHO_001_b
PRJNA484107	SAMN09759701	SRS3621850	SRX4501063	SRR7637317	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	BEL_001_j	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; BEL_001_j	PRJNA484107	BEL_001_j_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637317/SRR7637317.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637317/SRR7637317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637317/SRR7637317_2.fastq.gz		BEL_001_j	BEL_001_j
PRJNA484107	SAMN09759737	SRS3621849	SRX4501062	SRR7637318	97980	Arabidopsis croatica	ILLUMINA	Illumina HiSeq 2500	CRO_002_b	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; CRO_002_b	PRJNA484107	CRO_002_b_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637318/SRR7637318.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637318/SRR7637318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637318/SRR7637318_2.fastq.gz		CRO_002_b	CRO_002_b
PRJNA484107	SAMN09759736	SRS3621848	SRX4501061	SRR7637319	97980	Arabidopsis croatica	ILLUMINA	Illumina HiSeq 2500	CRO_001_be	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; CRO_001_be	PRJNA484107	CRO_001_be_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/009/SRR7637319/SRR7637319.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/009/SRR7637319/SRR7637319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/009/SRR7637319/SRR7637319_2.fastq.gz		CRO_001_be	CRO_001_be
PRJNA484107	SAMN09759703	SRS3621847	SRX4501060	SRR7637320	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	BEL_001_m	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; BEL_001_m	PRJNA484107	BEL_001_m_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/000/SRR7637320/SRR7637320.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/000/SRR7637320/SRR7637320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/000/SRR7637320/SRR7637320_2.fastq.gz		BEL_001_m	BEL_001_m
PRJNA484107	SAMN09759976	SRS3621846	SRX4501059	SRR7637321	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	WEK_001_a	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; WEK_001_a	PRJNA484107	WEK_001_a_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/001/SRR7637321/SRR7637321.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/001/SRR7637321/SRR7637321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/001/SRR7637321/SRR7637321_2.fastq.gz		WEK_001_a	WEK_001_a
PRJNA484107	SAMN09759977	SRS3621845	SRX4501058	SRR7637322	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	WEK_001_b	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; WEK_001_b	PRJNA484107	WEK_001_b_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/002/SRR7637322/SRR7637322.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/002/SRR7637322/SRR7637322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/002/SRR7637322/SRR7637322_2.fastq.gz		WEK_001_b	WEK_001_b
PRJNA484107	SAMN09759974	SRS3621844	SRX4501057	SRR7637323	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	VID_001_n	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; VID_001_n	PRJNA484107	VID_001_n_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637323/SRR7637323.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637323/SRR7637323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637323/SRR7637323_2.fastq.gz		VID_001_n	VID_001_n
PRJNA484107	SAMN09759975	SRS3621843	SRX4501056	SRR7637324	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	VID_001_o	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; VID_001_o	PRJNA484107	VID_001_o_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637324/SRR7637324.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637324/SRR7637324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637324/SRR7637324_2.fastq.gz		VID_001_o	VID_001_o
PRJNA484107	SAMN09759972	SRS3621841	SRX4501055	SRR7637325	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	VID_001_k	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; VID_001_k	PRJNA484107	VID_001_k_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637325/SRR7637325.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637325/SRR7637325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637325/SRR7637325_2.fastq.gz		VID_001_k	VID_001_k
PRJNA484107	SAMN09759973	SRS3621842	SRX4501054	SRR7637326	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	VID_001_m	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; VID_001_m	PRJNA484107	VID_001_m_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7637326/SRR7637326.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7637326/SRR7637326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7637326/SRR7637326_2.fastq.gz		VID_001_m	VID_001_m
PRJNA484107	SAMN09759970	SRS3621840	SRX4501053	SRR7637327	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	VID_001_c	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; VID_001_c	PRJNA484107	VID_001_c_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637327/SRR7637327.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637327/SRR7637327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637327/SRR7637327_2.fastq.gz		VID_001_c	VID_001_c
PRJNA484107	SAMN09759971	SRS3621839	SRX4501052	SRR7637328	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	VID_001_e	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; VID_001_e	PRJNA484107	VID_001_e_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637328/SRR7637328.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637328/SRR7637328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637328/SRR7637328_2.fastq.gz		VID_001_e	VID_001_e
PRJNA484107	SAMN09759968	SRS3621838	SRX4501051	SRR7637329	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	VID_001_a	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; VID_001_a	PRJNA484107	VID_001_a_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/009/SRR7637329/SRR7637329.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/009/SRR7637329/SRR7637329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/009/SRR7637329/SRR7637329_2.fastq.gz		VID_001_a	VID_001_a
PRJNA484107	SAMN09759969	SRS3621837	SRX4501050	SRR7637330	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	VID_001_b	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; VID_001_b	PRJNA484107	VID_001_b_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/000/SRR7637330/SRR7637330.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/000/SRR7637330/SRR7637330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/000/SRR7637330/SRR7637330_2.fastq.gz		VID_001_b	VID_001_b
PRJNA484107	SAMN09759824	SRS3621836	SRX4501049	SRR7637331	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	LAC_001_d	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; LAC_001_d	PRJNA484107	LAC_001_d_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/001/SRR7637331/SRR7637331.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/001/SRR7637331/SRR7637331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/001/SRR7637331/SRR7637331_2.fastq.gz		LAC_001_d	LAC_001_d
PRJNA484107	SAMN09759825	SRS3621835	SRX4501048	SRR7637332	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	LAC_001_f	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; LAC_001_f	PRJNA484107	LAC_001_f_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/002/SRR7637332/SRR7637332.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/002/SRR7637332/SRR7637332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/002/SRR7637332/SRR7637332_2.fastq.gz		LAC_001_f	LAC_001_f
PRJNA484107	SAMN09759822	SRS3621834	SRX4501047	SRR7637333	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	KZL_021_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; KZL_021_1	PRJNA484107	KZL_021_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637333/SRR7637333.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637333/SRR7637333_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637333/SRR7637333_2.fastq.gz		KZL_021_1	KZL_021_1
PRJNA484107	SAMN09759823	SRS3621833	SRX4501046	SRR7637334	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	LAC_001_c	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; LAC_001_c	PRJNA484107	LAC_001_c_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637334/SRR7637334.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637334/SRR7637334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637334/SRR7637334_2.fastq.gz		LAC_001_c	LAC_001_c
PRJNA484107	SAMN09759820	SRS3621832	SRX4501045	SRR7637335	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	KZL_017_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; KZL_017_1	PRJNA484107	KZL_017_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637335/SRR7637335.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637335/SRR7637335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637335/SRR7637335_2.fastq.gz		KZL_017_1	KZL_017_1
PRJNA484107	SAMN09759821	SRS3621831	SRX4501044	SRR7637336	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	KZL_020_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; KZL_020_1	PRJNA484107	KZL_020_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7637336/SRR7637336.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7637336/SRR7637336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7637336/SRR7637336_2.fastq.gz		KZL_020_1	KZL_020_1
PRJNA484107	SAMN09759818	SRS3621830	SRX4501043	SRR7637337	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	KZL_004_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; KZL_004_1	PRJNA484107	KZL_004_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637337/SRR7637337.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637337/SRR7637337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637337/SRR7637337_2.fastq.gz		KZL_004_1	KZL_004_1
PRJNA484107	SAMN09759819	SRS3621829	SRX4501042	SRR7637338	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	KZL_009_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; KZL_009_1	PRJNA484107	KZL_009_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637338/SRR7637338.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637338/SRR7637338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637338/SRR7637338_2.fastq.gz		KZL_009_1	KZL_009_1
PRJNA484107	SAMN09759785	SRS3621828	SRX4501041	SRR7637339	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	HNI_003_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; HNI_003_1	PRJNA484107	HNI_003_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/009/SRR7637339/SRR7637339.fastq.gz		HNI_003_1	HNI_003_1
PRJNA484107	SAMN09759786	SRS3621827	SRX4501040	SRR7637340	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	HNI_004_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; HNI_004_1	PRJNA484107	HNI_004_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/000/SRR7637340/SRR7637340.fastq.gz		HNI_004_1	HNI_004_1
PRJNA484107	SAMN09759826	SRS3621826	SRX4501039	SRR7637341	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	LAC_001_i	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; LAC_001_i	PRJNA484107	LAC_001_i_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/001/SRR7637341/SRR7637341.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/001/SRR7637341/SRR7637341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/001/SRR7637341/SRR7637341_2.fastq.gz		LAC_001_i	LAC_001_i
PRJNA484107	SAMN09759827	SRS3621825	SRX4501038	SRR7637342	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	LAC_001_l	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; LAC_001_l	PRJNA484107	LAC_001_l_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/002/SRR7637342/SRR7637342.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/002/SRR7637342/SRR7637342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/002/SRR7637342/SRR7637342_2.fastq.gz		LAC_001_l	LAC_001_l
PRJNA484107	SAMN09759740	SRS3621824	SRX4501037	SRR7637343	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	DRA_001_b	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; DRA_001_b	PRJNA484107	DRA_001_b_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637343/SRR7637343.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637343/SRR7637343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637343/SRR7637343_2.fastq.gz		DRA_001_b	DRA_001_b
PRJNA484107	SAMN09759741	SRS3621823	SRX4501036	SRR7637344	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	DRA_001_c	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; DRA_001_c	PRJNA484107	DRA_001_c_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637344/SRR7637344.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637344/SRR7637344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637344/SRR7637344_2.fastq.gz		DRA_001_c	DRA_001_c
PRJNA484107	SAMN09759738	SRS3621822	SRX4501035	SRR7637345	97980	Arabidopsis croatica	ILLUMINA	Illumina HiSeq 2500	CRO_002_g	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; CRO_002_g	PRJNA484107	CRO_002_g_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637345/SRR7637345.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637345/SRR7637345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637345/SRR7637345_2.fastq.gz		CRO_002_g	CRO_002_g
PRJNA484107	SAMN09759739	SRS3621821	SRX4501034	SRR7637346	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	DFS_001_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; DFS_001_1	PRJNA484107	DFS_001_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7637346/SRR7637346.fastq.gz		DFS_001_1	DFS_001_1
PRJNA484107	SAMN09759744	SRS3621820	SRX4501033	SRR7637347	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	DRA_001_i	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; DRA_001_i	PRJNA484107	DRA_001_i_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637347/SRR7637347.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637347/SRR7637347_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637347/SRR7637347_2.fastq.gz		DRA_001_i	DRA_001_i
PRJNA484107	SAMN09759939	SRS3621819	SRX4501032	SRR7637348	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	TRE_013_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; TRE_013_1	PRJNA484107	TRE_013_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637348/SRR7637348.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637348/SRR7637348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637348/SRR7637348_2.fastq.gz		TRE_013_1	TRE_013_1
PRJNA484107	SAMN09759742	SRS3621818	SRX4501031	SRR7637349	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	DRA_001_e	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; DRA_001_e	PRJNA484107	DRA_001_e_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/009/SRR7637349/SRR7637349.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/009/SRR7637349/SRR7637349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/009/SRR7637349/SRR7637349_2.fastq.gz		DRA_001_e	DRA_001_e
PRJNA484107	SAMN09759743	SRS3621817	SRX4501030	SRR7637350	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	DRA_001_h	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; DRA_001_h	PRJNA484107	DRA_001_h_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/000/SRR7637350/SRR7637350.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/000/SRR7637350/SRR7637350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/000/SRR7637350/SRR7637350_2.fastq.gz		DRA_001_h	DRA_001_h
PRJNA484107	SAMN09759746	SRS3621816	SRX4501029	SRR7637351	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	DRA_001_l	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; DRA_001_l	PRJNA484107	DRA_001_l_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/001/SRR7637351/SRR7637351.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/001/SRR7637351/SRR7637351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/001/SRR7637351/SRR7637351_2.fastq.gz		DRA_001_l	DRA_001_l
PRJNA484107	SAMN09759747	SRS3621815	SRX4501028	SRR7637352	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	DRA_001_o	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; DRA_001_o	PRJNA484107	DRA_001_o_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/002/SRR7637352/SRR7637352.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/002/SRR7637352/SRR7637352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/002/SRR7637352/SRR7637352_2.fastq.gz		DRA_001_o	DRA_001_o
PRJNA484107	SAMN09759780	SRS3621814	SRX4501027	SRR7637353	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	HNE_014_1	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; HNE_014_1	PRJNA484107	HNE_014_1_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637353/SRR7637353.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637353/SRR7637353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/003/SRR7637353/SRR7637353_2.fastq.gz		HNE_014_1	HNE_014_1
PRJNA484107	SAMN09759718	SRS3621813	SRX4501026	SRR7637354	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	BIH_001_j	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; BIH_001_j	PRJNA484107	BIH_001_j_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637354/SRR7637354.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637354/SRR7637354_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/004/SRR7637354/SRR7637354_2.fastq.gz		BIH_001_j	BIH_001_j
PRJNA484107	SAMN09759719	SRS3621812	SRX4501025	SRR7637355	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	BIH_001_k	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; BIH_001_k	PRJNA484107	BIH_001_k_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637355/SRR7637355.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637355/SRR7637355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/005/SRR7637355/SRR7637355_2.fastq.gz		BIH_001_k	BIH_001_k
PRJNA484107	SAMN09759720	SRS3621811	SRX4501024	SRR7637356	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	BIH_001_l	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; BIH_001_l	PRJNA484107	BIH_001_l_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7637356/SRR7637356.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7637356/SRR7637356_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/006/SRR7637356/SRR7637356_2.fastq.gz		BIH_001_l	BIH_001_l
PRJNA484107	SAMN09759721	SRS3621810	SRX4501023	SRR7637357	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	BIH_001_p	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; BIH_001_p	PRJNA484107	BIH_001_p_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637357/SRR7637357.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637357/SRR7637357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/007/SRR7637357/SRR7637357_2.fastq.gz		BIH_001_p	BIH_001_p
PRJNA484107	SAMN09759722	SRS3621809	SRX4501022	SRR7637358	38785	Arabidopsis arenosa	ILLUMINA	Illumina HiSeq 2500	BRD_001_a	PAIRED	GENOMIC	Illumina HiSeq 2500 sequencing; BRD_001_a	PRJNA484107	BRD_001_a_realigned.bam	ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637358/SRR7637358.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637358/SRR7637358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR763/008/SRR7637358/SRR7637358_2.fastq.gz		BRD_001_a	BRD_001_a
