Run,Assay Type,AvgSpotLen,Bases,Biomaterial_provider,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,population_replicate,Population,ReleaseDate,Sample Name,SRA Study,tissue
SRR12778320,WGS,251,4461347548,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378494,Plant,1919820737,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",developed rosettes of adult plants,Serpentine,SRX9247893,Austria,Europe,Austria: Oppenberg,HiSeq X Ten,S4_01,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,1,S4,2021-02-02T00:00:00Z,S4_01,SRP286483,leaf
SRR12778321,WGS,250,3560573054,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378467,Plant,1621184960,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",developed rosettes of adult plants,Serpentine,SRX9247892,Czech Republic,Europe,Czech Republic: Borovsko,HiSeq X Ten,S1_04,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,4,S1,2021-02-02T00:00:00Z,S1_04,SRP286483,leaf
SRR12778322,WGS,302,6173968408,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378493,Plant,2778651201,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",developed rosettes of adult plants,Outgroup,SRX9247891,Austria,Europe,Austria: Hardegg,HiSeq X Ten,HRA_11,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,11,HRA,2021-02-02T00:00:00Z,HRA_11,SRP286483,leaf
SRR12778323,WGS,302,9505812702,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378492,Plant,4293863203,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",developed rosettes of adult plants,Outgroup,SRX9247890,Austria,Europe,Austria: Hardegg,HiSeq X Ten,HRA_10,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,10,HRA,2021-02-02T00:00:00Z,HRA_10,SRP286483,leaf
SRR12778324,WGS,302,7598676964,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378491,Plant,3443824899,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",developed rosettes of adult plants,Outgroup,SRX9247889,Austria,Europe,Austria: Hardegg,HiSeq X Ten,HRA_09,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,9,HRA,2021-02-02T00:00:00Z,HRA_09,SRP286483,leaf
SRR12778325,WGS,302,7424501484,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378490,Plant,3300774592,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",developed rosettes of adult plants,Outgroup,SRX9247888,Austria,Europe,Austria: Hardegg,HiSeq X Ten,HRA_07,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,7,HRA,2021-02-02T00:00:00Z,HRA_07,SRP286483,leaf
SRR12778326,WGS,302,13196527522,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378489,Plant,5864309850,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",developed rosettes of adult plants,Outgroup,SRX9247887,Austria,Europe,Austria: Hardegg,HiSeq X Ten,HRA_03,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,3,HRA,2021-02-02T00:00:00Z,HRA_03,SRP286483,leaf
SRR12778327,WGS,252,7409916998,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378488,Plant,3095517790,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",developed rosettes of adult plants,Serpentine,SRX9247886,Austria,Europe,Austria: Gulsen,HiSeq X Ten,S3_09,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,9,S3,2021-02-02T00:00:00Z,S3_09,SRP286483,leaf
SRR12778328,WGS,250,3924578637,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378487,Plant,1675072792,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",developed rosettes of adult plants,Serpentine,SRX9247885,Austria,Europe,Austria: Gulsen,HiSeq X Ten,S3_08,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,8,S3,2021-02-02T00:00:00Z,S3_08,SRP286483,leaf
SRR12778329,WGS,253,964752590,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378486,Plant,413671299,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",developed rosettes of adult plants,Serpentine,SRX9247884,Austria,Europe,Austria: Gulsen,HiSeq X Ten,S3_07,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,7,S3,2021-02-02T00:00:00Z,S3_07,SRP286483,leaf
SRR12778330,WGS,249,4555424776,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378485,Plant,1932035320,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",developed rosettes of adult plants,Serpentine,SRX9247883,Austria,Europe,Austria: Gulsen,HiSeq X Ten,S3_06,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,6,S3,2021-02-02T00:00:00Z,S3_06,SRP286483,leaf
SRR12778331,WGS,253,4355201645,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378484,Plant,1946293786,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",developed rosettes of adult plants,Serpentine,SRX9247882,Austria,Europe,Austria: Gulsen,HiSeq X Ten,S3_05,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,5,S3,2021-02-02T00:00:00Z,S3_05,SRP286483,leaf
SRR12778332,WGS,249,3539193568,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378466,Plant,1563213184,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",developed rosettes of adult plants,Serpentine,SRX9247881,Czech Republic,Europe,Czech Republic: Borovsko,HiSeq X Ten,S1_03,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,3,S1,2021-02-02T00:00:00Z,S1_03,SRP286483,leaf
SRR12778333,WGS,253,4584764831,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378483,Plant,2045076251,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",developed rosettes of adult plants,Serpentine,SRX9247880,Austria,Europe,Austria: Gulsen,HiSeq X Ten,S3_04,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,4,S3,2021-02-02T00:00:00Z,S3_04,SRP286483,leaf
SRR12778334,WGS,251,3737059287,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378482,Plant,1603791143,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",developed rosettes of adult plants,Serpentine,SRX9247879,Austria,Europe,Austria: Gulsen,HiSeq X Ten,S3_03,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,3,S3,2021-02-02T00:00:00Z,S3_03,SRP286483,leaf
SRR12778335,WGS,249,4386622631,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378481,Plant,1964036551,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",developed rosettes of adult plants,Serpentine,SRX9247878,Austria,Europe,Austria: Gulsen,HiSeq X Ten,S3_02,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,2,S3,2021-02-02T00:00:00Z,S3_02,SRP286483,leaf
SRR12778336,WGS,249,5111003908,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378480,Plant,2174845794,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",developed rosettes of adult plants,Serpentine,SRX9247877,Austria,Europe,Austria: Gulsen,HiSeq X Ten,S3_01,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,1,S3,2021-02-02T00:00:00Z,S3_01,SRP286483,leaf
SRR12778337,WGS,251,3854210523,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378479,Plant,1653467029,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",developed rosettes of adult plants,Non-serpentine,SRX9247876,Austria,Europe,Austria: Fuglau,HiSeq X Ten,N2_08,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,8,N2,2021-02-02T00:00:00Z,N2_08,SRP286483,leaf
SRR12778338,WGS,251,4180887245,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378478,Plant,1866238882,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",developed rosettes of adult plants,Non-serpentine,SRX9247875,Austria,Europe,Austria: Fuglau,HiSeq X Ten,N2_07,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,7,N2,2021-02-02T00:00:00Z,N2_07,SRP286483,leaf
SRR12778339,WGS,253,4565705460,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378477,Plant,1945570793,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",developed rosettes of adult plants,Non-serpentine,SRX9247874,Austria,Europe,Austria: Fuglau,HiSeq X Ten,N2_06,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,6,N2,2021-02-02T00:00:00Z,N2_06,SRP286483,leaf
SRR12778340,WGS,253,4281184012,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378476,Plant,1839049973,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",developed rosettes of adult plants,Non-serpentine,SRX9247873,Austria,Europe,Austria: Fuglau,HiSeq X Ten,N2_05,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,5,N2,2021-02-02T00:00:00Z,N2_05,SRP286483,leaf
SRR12778341,WGS,249,4184045259,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378475,Plant,1793821653,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",developed rosettes of adult plants,Non-serpentine,SRX9247872,Austria,Europe,Austria: Fuglau,HiSeq X Ten,N2_04,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,4,N2,2021-02-02T00:00:00Z,N2_04,SRP286483,leaf
SRR12778342,WGS,251,3721876992,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378474,Plant,1661166299,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",developed rosettes of adult plants,Non-serpentine,SRX9247871,Austria,Europe,Austria: Fuglau,HiSeq X Ten,N2_03,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,3,N2,2021-02-02T00:00:00Z,N2_03,SRP286483,leaf
SRR12778343,WGS,251,4133075511,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378465,Plant,1905689071,CHARLES UNIVERSITY IN PRAGUE,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",developed rosettes of adult plants,Serpentine,SRX9247870,Czech Republic,Europe,Czech Republic: Borovsko,HiSeq X Ten,S1_02,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,2,S1,2021-02-02T00:00:00Z,S1_02,SRP286483,leaf
SRR12778344,WGS,253,4540070643,"Filip Kolar\, Department of Botany\, Faculty of Science\, Charles University in Prague\, Benatska 2\, Praha 2\, Czech Republic",PRJNA667586,SAMN16378464,Plant,2013205949,CHARLES UNIVERSITY IN PRAGUE,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",developed rosettes of adult plants,Serpentine,SRX9247869,Czech Republic,Europe,Czech Republic: Borovsko,HiSeq X Ten,S1_01,PAIRED,RANDOM,GENOMIC,Arabidopsis arenosa,ILLUMINA,1,S1,2021-02-02T00:00:00Z,S1_01,SRP286483,leaf
