oa_id	ecotype_id	sample_name	latitude	longitude	locality	country	collector	collection_date	cs_number	sra_run	biosample	bioproject	library_layout	instrument_model	species	internal_data	internal_sample_name	elevation	ploidy	collection_notes	pooled_plants	include	country_code	country_name	dataset
OAKG6931	6931	Kz-9	49.5	73.1	KZ	KAZ	Ihsan Al-Shehbaz	1994-06-07 0:00:00	CS76537	SRR1945771	SAMN03326615	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	KAZ	Kazakhstan	KG
OAKG6932	6932	Ler-1	47.984	10.8719	Ler	GER	Eric Holub		CS77021	SRR1945772	SAMN03326616	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG6933	6933	LL-0	41.59	2.49	Ll	ESP	Albert Kranz		CS77047	SRR1945773	SAMN03326617	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	ESP	Spain	KG
OAKG6938	6938	Ms-0	55.7522	37.6322	Ms	RUS	Albert Kranz		CS76555	SRR1945774	SAMN03326618	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	RUS	Russia	KG
OAKG6940	6940	Mz-0	50.3	8.3	Merzhausen/Ts.	GER	Albert Kranz		CS76557	SRR1945775	SAMN03326619	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG6943	6943	NFA-10	51.4083	-0.6383	NFA	UK	Mick Crawley	1993-05-21 0:00:00	CS77126	SRR1945776	SAMN03326620	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	GBR	United Kingdom	KG
OAKG6944	6944	NFA-8	51.4083	-0.6383	NFA	UK	Mick Crawley	1993-05-21 0:00:00	CS78913	SRR1945777	SAMN03326621	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	GBR	United Kingdom	KG
OAKG6945	6945	Nok-3	52.24	4.45	Nok	NED	Albert Kranz		CS76562	SRR1945778	SAMN03326622	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	NLD	Netherlands	KG
OAKG6951	6951	Pu2-23	49.42	16.36	Pu2	CZE	Ivo Cetl		CS76579	SRR1945779	SAMN03326623	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	CZE	Czechia	KG
OAKG6956	6956	Pu2-7	49.42	16.36	Pu2	CZE	Ivo Cetl		CS76580	SRR1945780	SAMN03326624	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	CZE	Czechia	KG
OAKG6957	6957	Pu2-8	49.42	16.36	Pu2	CZE	Ivo Cetl		CS77192	SRR1945781	SAMN03326625	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	CZE	Czechia	KG
OAKG6958	6958	Ra-0	46	3.3	Ra	FRA	Albert Kranz		CS76582	SRR1945782	SAMN03326626	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	FRA	France	KG
OAKG6959	6959	Rennes-1	48.5	-1.41	REN	FRA	Gerhard Röbbelen		CS77210	SRR1945783	SAMN03326627	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	FRA	France	KG
OAKG6960	6960	Rennes-11	48.5	-1.41	REN	FRA	Gerhard Röbbelen		CS77211	SRR1945784	SAMN03326628	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	FRA	France	KG
OAKG6961	6961	Se-0	38.3333	-3.53333	Se	ESP	Albert Kranz		CS76597	SRR1945785	SAMN03326629	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	ESP	Spain	KG
OAKG6963	6963	Sorbo	38.35	68.48	Sorbo	TJK	Igor Vizir		CS78917	SRR1945786	SAMN03326630	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	TJK	Tajikistan	KG
OAKG6966	6966	Sq-1	51.4083	-0.6383	SQ	UK	Mick Crawley	1993-05-21 0:00:00	CS77266	SRR1945787	SAMN03326631	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	GBR	United Kingdom	KG
OAKG6967	6967	Sq-8	51.4083	-0.6383	SQ	UK	Mick Crawley	1993-05-21 0:00:00	CS76604	SRR1945788	SAMN03326632	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	GBR	United Kingdom	KG
OAKG6968	6968	Tamm-2	60	23.5	Tamm	FIN	Outi Savolainen	1989-05-01 0:00:00	CS76610	SRR1945789	SAMN03326633	PRJNA273563	PAIRED	Illumina Genome Analyzer IIx	Arabidopsis thaliana							Y	FIN	Finland	KG
OAKG6969	6969	Tamm-27	60	23.5	Tamm	FIN	Outi Savolainen		CS77341	SRR1945790	SAMN03326634	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	FIN	Finland	KG
OAKG6970	6970	Ts-1	41.7194	2.93056	Ts	ESP	Albert Kranz		CS76615	SRR1945791	SAMN03326635	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	ESP	Spain	KG
OAKG6971	6971	Ts-5	41.7194	2.93056	Ts	ESP	Albert Kranz		CS77388	SRR1945792	SAMN03326636	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	ESP	Spain	KG
OAKG6973	6973	Ull2-3	56.0648	13.9707	Ull2	SWE	Magnus Nordborg	2000-05-14 0:00:00	CS78817	SRR1945793	SAMN03326637	PRJNA273563	PAIRED	Illumina Genome Analyzer IIx	Arabidopsis thaliana							Y	SWE	Sweden	KG
OAKG6974	6974	Ull2-5	56.0648	13.9707	Ull2	SWE	Magnus Nordborg	2000-05-14 0:00:00	CS78818	SRR1945794	SAMN03326638	PRJNA273563	PAIRED	Illumina Genome Analyzer IIx	Arabidopsis thaliana							Y	SWE	Sweden	KG
OAKG6975	6975	Uod-1	48.3	14.45	Uod	AUT	Marcus Koch	2000-06-23 0:00:00	CS76621	SRR1945795	SAMN03326639	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	AUT	Austria	KG
OAKG6976	6976	Uod-7	48.3	14.45	Uod	AUT	Marcus Koch	2000-06-23 0:00:00	CS78823	SRR1945796	SAMN03326640	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	AUT	Austria	KG
OAKG6979	6979	Wei-0	47.25	8.26	Wei	SUI	Alan Slusarenko		CS76628	SRR1945797	SAMN03326641	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	CHE	Switzerland	KG
OAKG6981	6981	Ws-2	52.3	30	Ws	RUS	Kenneth Feldmann		CS78920	SRR1945798	SAMN03326642	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	RUS	Russia	KG
OAKG6982	6982	Wt-5	52.3	9.3	Wietze	GER	Albert Kranz		CS76632	SRR1945799	SAMN03326643	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG6984	6984	Zdr-1	49.3853	16.2544	Zdr	CZE	Jirina Relichov	2000-05-31 0:00:00	CS76635	SRR1945800	SAMN03326644	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	CZE	Czechia	KG
OAKG6986	6986	Abd-0	57.1539	-2.2207	Abd	UK	R. Mitchelson		CS76429	SRR1945801	SAMN03326645	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	GBR	United Kingdom	KG
OAKG6987	6987	Ak-1	48.0683	7.62551	Achkarren/Freiburg	GER	Albert Kranz		CS76431	SRR1945802	SAMN03326646	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG6989	6989	Alst-1	54.8	-2.4333	Alst	UK	Maarten Koornneef		CS76432	SRR1945803	SAMN03326647	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	GBR	United Kingdom	KG
OAKG6990	6990	Amel-1	53.448	5.73	Amel	NED	Maarten Koornneef		CS76434	SRR1945804	SAMN03326648	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	NLD	Netherlands	KG
OAKG6992	6992	Ang-0	50.3	5.3	Ang	BEL	Albert Kranz		CS76436	SRR1945805	SAMN03326649	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	BEL	Belgium	KG
OAKG6997	6997	Appt-1	51.8333	5.5833	Appt	NED	Maarten Koornneef		CS76440	SRR1945806	SAMN03326650	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	NLD	Netherlands	KG
OAKG7000	7000	Aa-0	50.9167	9.57073	Aua/Rhon	GER	Albert Kranz		CS76428	SRR1945807	SAMN03326651	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7002	7002	Baa-1	51.3333	6.1	Baa	NED	Maarten Koornneef		CS76442	SRR1945808	SAMN03326652	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	NLD	Netherlands	KG
OAKG7003	7003	Bs-1	47.5	7.5	Bs	SUI	Albert Kranz		CS78888	SRR1945809	SAMN03326653	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	CHE	Switzerland	KG
OAKG7008	7008	Benk-1	52	5.675	Benk	NED	Maarten Koornneef		CS76447	SRR1945810	SAMN03326654	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	NLD	Netherlands	KG
OAKG7013	7013	Bd-0	52.4584	13.287	Berlin/Dahlem	GER	Albert Kranz		CS76445	SRR1945811	SAMN03326655	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7014	7014	Ba-1	56.5459	-4.79821	Black Mount (Ba)	UK	Albert Kranz		CS76441	SRR1945812	SAMN03326656	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	GBR	United Kingdom	KG
OAKG7025	7025	Bl-1	44.5041	11.3396	Bl	ITA	Albert Kranz		CS76450	SRR1945813	SAMN03326657	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	ITA	Italy	KG
OAKG7026	7026	Boot-1	54.4	-3.2667	Boot	UK	Maarten Koornneef	2000-05-14 0:00:00	CS76452	SRR1945814	SAMN03326658	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	GBR	United Kingdom	KG
OAKG7028	7028	Bch-1	49.5166	9.3166	Buchen/Lauenburg	GER	Albert Kranz		CS76444	SRR1945815	SAMN03326659	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7031	7031	Bsch-0	50.0167	8.6667	Buchschlag/Frankfurt am Main	GER	Albert Kranz		CS76457	SRR1945816	SAMN03326660	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7033	7033	Buckhorn Pass	41.3599	-122.755	Buckhorn Pass	USA	Angus Murphy		CS76733	SRR1945817	SAMN03326661	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG7036	7036	Bu-0	50.5	9.5	Burghaun/Rhon	GER	Albert Kranz		CS78889	SRR1945818	SAMN03326662	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7058	7058	Bur-0	53.08	-9.07555556	Bur	IRL	Albert Kranz		CS76734	SRR1945819	SAMN03326663	PRJNA273563	PAIRED	Illumina Genome Analyzer II	Arabidopsis thaliana							Y	IRL	Ireland	KG
OAKG7061	7061	Cal-0	53.2699	-1.64293	Cal	UK	Albert Kranz		CS76460	SRR1945820	SAMN03326664	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	GBR	United Kingdom	KG
OAKG7062	7062	Ca-0	50.2981	8.26607	Camberg/Taunus	GER	Albert Kranz		CS76459	SRR1945821	SAMN03326665	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7063	7063	Can-0	29.2144	-13.4811	Can	ESP	Albert Kranz		CS76740	SRR1945822	SAMN03326666	PRJNA273563	PAIRED	Illumina Genome Analyzer II	Arabidopsis thaliana							Y	ESP	Spain	KG
OAKG7064	7064	Cnt-1	51.3	1.1	Canterbury (Sullivan garden)	UK	Eric Holub		CS76467	SRR1945823	SAMN03326667	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	GBR	United Kingdom	KG
OAKG7067	7067	Ct-1	37.3	15	Ct	ITA	Albert Kranz		CS76786	SRR1945824	SAMN03326668	PRJNA273563	PAIRED	Illumina Genome Analyzer II	Arabidopsis thaliana							Y	ITA	Italy	KG
OAKG7068	7068	Cerv-1	42	12.1	Cerv	ITA	Maarten Koornneef		CS76462	SRR1945825	SAMN03326669	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	ITA	Italy	KG
OAKG7071	7071	Chat-1	48.0717	1.33867	Chat	FRA	Maarten Koornneef		CS76463	SRR1945826	SAMN03326670	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	FRA	France	KG
OAKG7072	7072	Chi-0	53.7502	34.7361	Chi	RUS	Albert Kranz		CS76464	SRR1945827	SAMN03326671	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	RUS	Russia	KG
OAKG7077	7077	Co-1	40.12	-8.25	Co	POR	Albert Kranz		CS76468	SRR1945828	SAMN03326672	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	PRT	Portugal	KG
OAKG7081	7081	Co	40.2077	-8.42639	Co	POR	George Redei		CS78895	SRR1945829	SAMN03326673	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	PRT	Portugal	KG
OAKG7092	7092	Com-1	49.416	2.823	Com	FRA	Maarten Koornneef		CS76469	SRR1945830	SAMN03326674	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	FRA	France	KG
OAKG7094	7094	Da-0	49.8724	8.65081	Darmstadt	GER	Albert Kranz		CS76791	SRR1945831	SAMN03326675	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7096	7096	Di-G	47.3239	5.04278	Di	FRA	Maarten Koornneef		CS76472	SRR1945832	SAMN03326676	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	FRA	France	KG
OAKG7102	7102	Do-0	50.7224	8.2372	Donsbach/Westerw.	GER	Albert Kranz		CS76474	SRR1945833	SAMN03326677	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7103	7103	Dra-0	49.4167	16.2667	Dra	CZE	Albert Kranz		CS76476	SRR1945834	SAMN03326678	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	CZE	Czechia	KG
OAKG7106	7106	Dr-0	51.051	13.7336	Dresden	GER	Albert Kranz		CS78897	SRR1945835	SAMN03326679	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7107	7107	Durh-1	54.7761	-1.5733	Durh	UK	Maarten Koornneef		CS76477	SRR1945836	SAMN03326680	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	GBR	United Kingdom	KG
OAKG7109	7109	Ema-1	51.3	0.5	Ema	UK	Eric Holub		CS76480	SRR1945837	SAMN03326681	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	GBR	United Kingdom	KG
OAKG7111	7111	Edi-0	55.9494	-3.16028	Edi	UK	Albert Kranz		CS76831	SRR1945838	SAMN03326682	PRJNA273563	PAIRED	Illumina Genome Analyzer II	Arabidopsis thaliana							Y	GBR	United Kingdom	KG
OAKG7117	7117	El-0	51.5105	9.68253	Eifel	GER	Albert Kranz		CS76479	SRR1945839	SAMN03326683	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7119	7119	En-2	50	8.5	Enkheim/Frankfurt	GER	Albert Kranz		CS76481	SRR1945840	SAMN03326684	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7120	7120	En-D	50	8.5	Enkheim/Frankfurt	GER	Albert Kranz		CS76482	SRR1945841	SAMN03326685	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7125	7125	Er-0	49.5955	11.0087	Erlangen	GER	Albert Kranz		CS78898	SRR1945842	SAMN03326686	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7126	7126	Es-0	60.1997	24.5682	Es	FIN	Albert Kranz		CS76484	SRR1945843	SAMN03326687	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	FIN	Finland	KG
OAKG7127	7127	Est	58.6656	24.9871	EstGER	EST	Brigitte Damm		CS76485	SRR1945844	SAMN03326688	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	EST	Estonia	KG
OAKG7130	7130	Et-0	44.6447	2.56481	Et	FRA	Albert Kranz		CS76486	SRR1945845	SAMN03326689	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	FRA	France	KG
OAKG7133	7133	Fr-2	50.1102	8.6822	Frankfurt	GER	Albert Kranz		CS76489	SRR1945846	SAMN03326690	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7138	7138	Fi-0	50.5	8.0167	Frickhofen	GER	Albert Kranz		CS76488	SRR1945847	SAMN03326691	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7143	7143	Gel-1	51.0167	5.86667	Gel	NED	Maarten Koornneef		CS76492	SRR1945848	SAMN03326692	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	NLD	Netherlands	KG
OAKG7147	7147	Gie-0	50.584	8.67825	Gieben	GER	Albert Kranz		CS76493	SRR1945849	SAMN03326693	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7158	7158	Gr-5	47	15.5	Graz	AUT	Albert Kranz		CS76885	SRR1945850	SAMN03326694	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	AUT	Austria	KG
OAKG7160	7160	Gre-0	43.178	-85.2532	Gre	USA	Albert Kranz		CS76497	SRR1945851	SAMN03326695	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG7161	7161	Gd-1	53.5	10.5	Gudow	GER	Albert Kranz		CS76491	SRR1945852	SAMN03326696	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7162	7162	Hs-0	52.24	9.44	Hannover/Stroehen	GER	Albert Kranz		CS76515	SRR1945853	SAMN03326697	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7163	7163	Ha-0	52.3721	9.73569	Hannover	GER	Albert Kranz		CS76500	SRR1945854	SAMN03326698	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7164	7164	Hau-0	55.675	12.5686	Hau	DEN	Albert Kranz		CS76915	SRR1945855	SAMN03326699	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DNK	Denmark	KG
OAKG7165	7165	Hn-0	51.3472	8.28844	Hennetalsperre	GER	Albert Kranz		CS76513	SRR1945856	SAMN03326700	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7169	7169	Hh-0	54.4175	9.88682	Hohenlieth	GER	Albert Kranz		CS76512	SRR1945857	SAMN03326701	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7177	7177	Jm-0	49	15	Jm	CZE	Albert Kranz		CS76520	SRR1945858	SAMN03326702	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	CZE	Czechia	KG
OAKG7181	7181	Je-0	50.927	11.587	Jena	GER	Albert Kranz		CS76518	SRR1945859	SAMN03326703	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7183	7183	Kas-1	35	77	Kas	IND	Shauna Somerville		CS79018	SRR1945860	SAMN03326704	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	IND	India	KG
OAKG7186	7186	Kn-0	54.8969	23.8924	Kn	LTU	Albert Kranz		CS76969	SRR1945861	SAMN03326705	PRJNA273563	PAIRED	Illumina Genome Analyzer II	Arabidopsis thaliana							Y	LTU	Lithuania	KG
OAKG7192	7192	Kil-0	55.6395	-5.66364	Killean (Kil)	UK	Albert Kranz		CS76526	SRR1945862	SAMN03326706	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	GBR	United Kingdom	KG
OAKG7199	7199	Kl-5	50.95	6.9666	Koeln	GER	Albert Kranz		CS76528	SRR1945863	SAMN03326707	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7202	7202	Kb-0	50.1797	8.50861	Kronberg/Taunus	GER	Albert Kranz		CS76524	SRR1945864	SAMN03326708	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7203	7203	Krot-0	49.631	11.5722	Krottensee	GER	Thomas Mitchell-Olds		CS76534	SRR1945865	SAMN03326709	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7207	7207	Kyoto	35.0085	135.752	Kyoto	JPN	Hirokazu Tsukaya		CS76535	SRR1945866	SAMN03326710	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	JPN	Japan	KG
OAKG7208	7208	Lan-0	55.6739	-3.78181	Lan	UK	Albert Kranz		CS76539	SRR1945867	SAMN03326711	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	GBR	United Kingdom	KG
OAKG7209	7209	La-0	52.7333	15.2333	La	POL	Albert Kranz		CS76538	SRR1945868	SAMN03326712	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	POL	Poland	KG
OAKG7213	7213	Ler-0	47.984	10.8719	Ler	GER	Maarten Koornneef		CS77020	SRR1945869	SAMN03326713	PRJNA273563	PAIRED	Illumina Genome Analyzer II	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7217	7217	Lm-2	48	0.5	Lm	FRA	Albert Kranz		CS76545	SRR1945870	SAMN03326714	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	FRA	France	KG
OAKG7218	7218	Le-0	52.1611	4.49015	Le	NED	Albert Kranz		CS76540	SRR1945871	SAMN03326715	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	NLD	Netherlands	KG
OAKG7223	7223	Li-2:1	50.3833	8.0666	Limburg	GER	Albert Kranz		CS76541	SRR1945872	SAMN03326716	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7231	7231	Li-7	50.3833	8.0666	Limburg	GER	Albert Kranz		CS77035	SRR1945873	SAMN03326717	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7236	7236	Litva			Litva	LTU	Igor Vizir		CS76543	SRR1945874	SAMN03326718	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	LTU	Lithuania	KG
OAKG7244	7244	Mnz-0	50.001	8.26664	Mainz	GER	Albert Kranz		CS76552	SRR1945875	SAMN03326719	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7248	7248	Mv-0	41.3923	-70.6652	Mv	USA	Albert Kranz		CS76556	SRR1945876	SAMN03326720	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	USA	United States	KG
OAKG7250	7250	Me-0	51.9183	10.1138	Mechtshausen/Hessen	GER	Albert Kranz		CS76549	SRR1945877	SAMN03326721	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7255	7255	Mh-0	50.95	20.5	Muhlen	POL	Albert Kranz		CS76550	SRR1945878	SAMN03326722	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	POL	Poland	KG
OAKG7258	7258	Nw-0	50.5	8.5	Neuweilnau	GER	Albert Kranz		CS76564	SRR1945879	SAMN03326723	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7268	7268	Np-0	52.6969	10.981	Nieps/Salzwedel	GER	Albert Kranz		CS76563	SRR1945880	SAMN03326724	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7273	7273	No-0	51.0581	13.2995	Halle	GER	Albert Kranz		CS77128	SRR1945881	SAMN03326725	PRJNA273563	PAIRED	Illumina Genome Analyzer II	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7276	7276	Ob-0	50.2	8.5833	Oberursel/Hasen	GER	Albert Kranz		CS76566	SRR1945882	SAMN03326726	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7280	7280	Old-1	53.1667	8.2	Oldenburg	GER	Albert Kranz		CS76567	SRR1945883	SAMN03326727	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7282	7282	Or-0	50.3827	8.01161	Oranienstein	GER	Albert Kranz		CS76568	SRR1945884	SAMN03326728	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7287	7287	Ove-0	53.3422	8.42255	Ovelgoenne	GER	Albert Kranz		CS76569	SRR1945885	SAMN03326729	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	DEU	Germany	KG
OAKG7288	7288	Oy-0	60.385543	6.193019	Oy	NOR	Albert Kranz	2002-05-24 2:00:00	CS77156	SRR1945886	SAMN03326730	PRJNA273563	PAIRED	Illumina Genome Analyzer II	Arabidopsis thaliana							Y	NOR	Norway	KG
OAKG7296	7296	Petergof	59	29	Petergof	RUS	Igor Vizir		CS77170	SRR1945887	SAMN03326731	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	RUS	Russia	KG
OAKG7298	7298	Pi-0	47.04	10.51	Pi	AUT	Albert Kranz		CS76572	SRR1945888	SAMN03326732	PRJNA273563	PAIRED	Illumina HiSeq 2000	Arabidopsis thaliana							Y	AUT	Austria	KG
